,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p461,p462,p463,p464,p465,p466,p461_t,p462_t,p463_t,p464_t,p465_t,p466_t,t46_calif
11627,1145705102,1,M,46,2,Basic,1,Northwest,2,2,1,2,2,2,2,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
11628,1145810101,1,M,42,3,Basic,1,Northwest,4,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
11629,1145904101,2,F,41,6,high School,1,Northwest,1,1,1,1,1,1,1,Always,Always,Always,Always,Always,Always,9.166666666666666
11630,1146006102,2,F,41,3,Basic,2,Northeast,3,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
11631,1146115101,1,M,33,6,high School,3,Bajío,4,2,2,2,1,2,2,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,7.916666666666666
11632,1146217102,2,F,50,2,Basic,5,South/East,4,2,1,3,2,1,3,Sometimes,Always,Never,Sometimes,Always,Never,8.333333333333334
11633,1146319103,1,M,25,6,high School,6,South,3,1,1,3,3,3,2,Always,Always,Never,Never,Never,Sometimes,7.916666666666666
11634,1146402102,2,F,36,2,Basic,1,Northwest,1,2,1,2,1,2,3,Sometimes,Always,Sometimes,Always,Sometimes,Never,7.916666666666666
11635,1146505103,2,F,23,8,Undergraduate,2,Northeast,1,1,1,3,1,1,2,Always,Always,Never,Always,Always,Sometimes,9.583333333333334
11636,1146604101,2,F,73,6,high School,3,Bajío,3,1,1,3,1,2,3,Always,Always,Never,Always,Sometimes,Never,8.75
11637,1146702104,2,F,26,3,Basic,5,South/East,4,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
11638,1146804101,2,F,51,6,high School,1,Northwest,1,1,2,3,2,2,2,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,8.333333333333334
11639,1146901101,1,M,70,2,Basic,2,Northeast,1,1,1,2,3,3,2,Always,Always,Sometimes,Never,Never,Sometimes,7.5
11640,1147004102,2,F,48,8,Undergraduate,3,Bajío,1,1,1,3,2,3,2,Always,Always,Never,Sometimes,Never,Sometimes,8.333333333333334
11641,1147101101,2,F,48,3,Basic,1,Northwest,1,1,1,2,1,1,2,Always,Always,Sometimes,Always,Always,Sometimes,9.166666666666666
11642,1147203102,2,F,53,3,Basic,5,South/East,1,2,2,2,2,1,3,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,7.5
11643,1147303101,2,F,62,8,Undergraduate,3,Bajío,1,1,1,2,2,1,2,Always,Always,Sometimes,Sometimes,Always,Sometimes,8.75
11644,1147405102,2,F,42,3,Basic,2,Northeast,3,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
11645,1147503101,2,F,45,3,Basic,5,South/East,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
11647,1147704102,2,F,31,3,Basic,2,Northeast,1,2,2,2,2,1,2,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,7.916666666666666
11648,1147809102,2,F,27,6,high School,5,South/East,2,2,1,3,1,3,2,Sometimes,Always,Never,Always,Never,Sometimes,8.333333333333334
11649,1147903101,2,F,55,2,Basic,3,Bajío,1,2,1,2,2,2,2,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
11650,1148004101,2,F,31,8,Undergraduate,6,South,1,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
11651,1148101103,2,F,28,8,Undergraduate,1,Northwest,1,1,1,1,1,3,1,Always,Always,Always,Always,Never,Always,8.333333333333334
11652,1148209102,2,F,60,0,No studies,3,Bajío,2,1,2,3,3,2,2,Always,Sometimes,Never,Never,Sometimes,Sometimes,7.916666666666666
11653,1148305101,1,M,28,6,high School,1,Northwest,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
11654,1148405101,2,F,36,6,high School,3,Bajío,1,2,1,2,2,2,2,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
11655,1148504101,1,M,60,3,Basic,6,South,1,2,2,2,3,2,2,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,7.083333333333333
11656,1148603102,2,F,70,2,Basic,6,South,2,2,1,2,2,1,3,Sometimes,Always,Sometimes,Sometimes,Always,Never,7.916666666666666
11657,1148705102,2,F,62,6,high School,1,Northwest,1,1,1,1,3,3,3,Always,Always,Always,Never,Never,Never,6.666666666666666
11658,1148801101,2,F,54,8,Undergraduate,3,Bajío,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
11659,1148905102,1,M,29,3,Basic,3,Bajío,2,1,1,3,1,1,2,Always,Always,Never,Always,Always,Sometimes,9.583333333333334
11660,1149003102,2,F,29,6,high School,2,Northeast,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
11661,1149101101,2,F,51,2,Basic,5,South/East,1,2,3,3,2,3,3,Sometimes,Never,Never,Sometimes,Never,Never,6.666666666666666
11662,1149204101,2,F,60,5,Basic,2,Northeast,1,2,2,2,3,3,3,Sometimes,Sometimes,Sometimes,Never,Never,Never,6.25
11663,1149302103,1,M,30,8,Undergraduate,5,South/East,1,1,1,1,1,3,1,Always,Always,Always,Always,Never,Always,8.333333333333334
11664,1149409101,2,F,60,2,Basic,6,South,3,1,1,1,2,3,3,Always,Always,Always,Sometimes,Never,Never,7.083333333333333
11665,1149511102,2,F,63,2,Basic,6,South,4,1,1,3,2,1,1,Always,Always,Never,Sometimes,Always,Always,9.583333333333334
11666,1149604101,1,M,28,8,Undergraduate,1,Northwest,1,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
11667,1149703101,2,F,62,3,Basic,3,Bajío,2,1,1,1,1,2,2,Always,Always,Always,Always,Sometimes,Sometimes,8.333333333333334
11668,1149811101,2,F,69,2,Basic,3,Bajío,3,1,1,3,2,2,3,Always,Always,Never,Sometimes,Sometimes,Never,8.333333333333334
11669,1149915101,1,M,46,3,Basic,1,Northwest,4,1,3,1,1,1,3,Always,Never,Always,Always,Always,Never,7.5
11670,1150002101,2,F,76,2,Basic,5,South/East,2,3,1,2,2,1,3,Never,Always,Sometimes,Sometimes,Always,Never,7.5
11671,1150120102,2,F,44,3,Basic,6,South,4,2,1,2,1,3,3,Sometimes,Always,Sometimes,Always,Never,Never,7.5
11672,1150205101,2,F,45,3,Basic,1,Northwest,1,1,1,3,2,2,2,Always,Always,Never,Sometimes,Sometimes,Sometimes,8.75
11673,1150304102,1,M,27,3,Basic,2,Northeast,1,2,1,3,3,2,2,Sometimes,Always,Never,Never,Sometimes,Sometimes,7.916666666666666
11674,1150405102,2,F,51,3,Basic,5,South/East,4,1,1,3,3,2,3,Always,Always,Never,Never,Sometimes,Never,7.916666666666666
11675,1150504102,1,M,42,6,high School,5,South/East,1,1,1,3,1,1,2,Always,Always,Never,Always,Always,Sometimes,9.583333333333334
11676,1150612102,2,F,35,6,high School,6,South,4,1,2,3,2,3,3,Always,Sometimes,Never,Sometimes,Never,Never,7.5
