,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p461,p462,p463,p464,p465,p466,p461_t,p462_t,p463_t,p464_t,p465_t,p466_t,t46_calif
0,101101,1,M,38,8,Undergraduate,1,Northwest,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
1,210101,1,M,36,8,Undergraduate,6,South,3,1,1,2,1,1,1,Always,Always,Sometimes,Always,Always,Always,9.583333333333334
2,303102,1,M,20,3,Basic,4,CDMX,1,2,2,2,2,3,3,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,6.666666666666666
3,401101,1,M,59,3,Basic,1,Northwest,1,1,1,1,3,1,2,Always,Always,Always,Never,Always,Sometimes,7.916666666666666
4,503101,2,F,37,6,high School,4,CDMX,1,1,1,3,1,3,3,Always,Always,Never,Always,Never,Never,8.333333333333334
5,603102,2,F,53,3,Basic,6,South,1,3,1,3,2,1,2,Never,Always,Never,Sometimes,Always,Sometimes,8.333333333333334
6,704101,1,M,40,2,Basic,6,South,4,1,1,1,2,2,2,Always,Always,Always,Sometimes,Sometimes,Sometimes,7.916666666666666
7,803102,2,F,24,8,Undergraduate,2,Northeast,2,2,1,2,1,1,3,Sometimes,Always,Sometimes,Always,Always,Never,8.333333333333334
8,904102,2,F,41,3,Basic,2,Northeast,1,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
9,1004101,1,M,37,3,Basic,1,Northwest,1,1,2,1,1,1,1,Always,Sometimes,Always,Always,Always,Always,8.75
10,1102102,2,F,53,2,Basic,3,Bajío,1,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11,1201102,2,F,37,3,Basic,3,Bajío,4,2,1,2,3,1,2,Sometimes,Always,Sometimes,Never,Always,Sometimes,7.916666666666666
12,1303104,1,M,20,6,high School,6,South,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
14,1504101,1,M,46,6,high School,5,South/East,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
15,1609104,1,M,22,6,high School,3,Bajío,4,1,1,3,1,3,1,Always,Always,Never,Always,Never,Always,9.166666666666666
16,1704101,2,F,42,3,Basic,2,Northeast,1,1,2,1,2,2,3,Always,Sometimes,Always,Sometimes,Sometimes,Never,7.083333333333333
17,1816102,2,F,53,2,Basic,5,South/East,4,3,3,2,3,2,2,Never,Never,Sometimes,Never,Sometimes,Sometimes,6.25
18,1904105,2,F,32,3,Basic,1,Northwest,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
19,2008101,1,M,45,2,Basic,2,Northeast,4,2,1,2,3,1,1,Sometimes,Always,Sometimes,Never,Always,Always,8.333333333333334
20,2105101,1,M,46,6,high School,5,South/East,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
21,2205103,2,F,23,8,Undergraduate,3,Bajío,1,1,2,3,2,2,3,Always,Sometimes,Never,Sometimes,Sometimes,Never,7.916666666666666
22,2318101,1,M,50,2,Basic,3,Bajío,3,3,1,1,3,3,3,Never,Always,Always,Never,Never,Never,5.833333333333333
23,2413101,2,F,47,6,high School,1,Northwest,4,2,2,1,2,2,1,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,7.5
24,2502101,1,M,64,8,Undergraduate,4,CDMX,1,1,1,3,3,2,2,Always,Always,Never,Never,Sometimes,Sometimes,8.333333333333334
25,2601101,2,F,60,2,Basic,3,Bajío,3,3,1,1,2,3,3,Never,Always,Always,Sometimes,Never,Never,6.25
26,2601201,2,F,26,8,Undergraduate,3,Bajío,3,1,1,2,2,2,1,Always,Always,Sometimes,Sometimes,Sometimes,Always,8.75
27,2701101,2,F,50,8,Undergraduate,2,Northeast,1,1,1,3,1,3,3,Always,Always,Never,Always,Never,Never,8.333333333333334
28,2805101,2,F,53,6,high School,3,Bajío,2,1,1,3,2,1,3,Always,Always,Never,Sometimes,Always,Never,8.75
29,2920101,1,M,39,6,high School,6,South,2,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
30,3001104,2,F,80,8,Undergraduate,4,CDMX,1,1,1,2,3,3,2,Always,Always,Sometimes,Never,Never,Sometimes,7.5
31,3102103,2,F,42,2,Basic,5,South/East,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
32,3209102,2,F,67,2,Basic,3,Bajío,4,3,1,3,3,3,3,Never,Always,Never,Never,Never,Never,6.666666666666666
33,3316101,2,F,32,3,Basic,6,South,3,1,2,3,2,1,2,Always,Sometimes,Never,Sometimes,Always,Sometimes,8.75
34,3403102,2,F,50,5,Basic,2,Northeast,1,1,1,3,2,2,2,Always,Always,Never,Sometimes,Sometimes,Sometimes,8.75
35,3504103,1,M,45,6,high School,1,Northwest,1,1,2,2,1,3,3,Always,Sometimes,Sometimes,Always,Never,Never,7.5
36,3603101,1,M,22,8,Undergraduate,3,Bajío,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
37,3704102,2,F,32,6,high School,1,Northwest,1,1,2,1,1,1,1,Always,Sometimes,Always,Always,Always,Always,8.75
38,3804101,2,F,39,6,high School,2,Northeast,1,1,1,3,1,1,2,Always,Always,Never,Always,Always,Sometimes,9.583333333333334
39,3903102,2,F,38,7,high School,4,CDMX,1,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
40,4014101,1,M,73,0,No studies,6,South,4,1,1,3,2,2,3,Always,Always,Never,Sometimes,Sometimes,Never,8.333333333333334
41,4102102,2,F,25,3,Basic,5,South/East,4,2,2,2,1,3,2,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,7.5
42,4215101,2,F,55,5,Basic,5,South/East,2,1,1,2,1,3,3,Always,Always,Sometimes,Always,Never,Never,7.916666666666666
43,4315102,2,F,26,8,Undergraduate,1,Northwest,4,1,2,2,2,2,2,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
44,4405101,2,F,63,0,No studies,5,South/East,3,3,2,3,1,1,3,Never,Sometimes,Never,Always,Always,Never,7.916666666666666
45,4511101,2,F,78,3,Basic,6,South,4,1,1,1,3,1,3,Always,Always,Always,Never,Always,Never,7.5
46,4604101,1,M,59,6,high School,6,South,1,1,1,3,3,1,1,Always,Always,Never,Never,Always,Always,9.166666666666666
47,4705101,2,F,52,3,Basic,5,South/East,3,2,1,2,2,2,3,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,7.5
48,4815101,2,F,85,0,No studies,6,South,4,2,3,1,2,2,2,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,6.666666666666666
49,4901104,2,F,30,3,Basic,4,CDMX,1,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
50,5004102,2,F,40,6,high School,6,South,1,2,2,2,1,2,2,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,7.916666666666666
51,5101101,1,M,69,0,No studies,5,South/East,4,1,1,3,3,3,3,Always,Always,Never,Never,Never,Never,7.5
52,5205102,2,F,34,8,Undergraduate,2,Northeast,1,1,1,3,1,1,2,Always,Always,Never,Always,Always,Sometimes,9.583333333333334
53,5305101,2,F,45,8,Undergraduate,5,South/East,1,1,2,3,1,1,3,Always,Sometimes,Never,Always,Always,Never,8.75
54,5410102,2,F,53,2,Basic,3,Bajío,2,1,1,3,3,3,3,Always,Always,Never,Never,Never,Never,7.5
55,5519102,2,F,70,2,Basic,2,Northeast,3,1,1,3,2,1,3,Always,Always,Never,Sometimes,Always,Never,8.75
56,5606102,2,F,56,2,Basic,5,South/East,4,1,1,3,2,1,2,Always,Always,Never,Sometimes,Always,Sometimes,9.166666666666666
57,5704101,1,M,48,8,Undergraduate,4,CDMX,1,1,1,3,1,2,1,Always,Always,Never,Always,Sometimes,Always,9.583333333333334
58,5805101,1,M,37,10,Graduate,1,Northwest,1,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
59,5909101,1,M,62,6,high School,5,South/East,4,1,1,3,1,1,2,Always,Always,Never,Always,Always,Sometimes,9.583333333333334
60,6004102,1,M,44,3,Basic,1,Northwest,1,2,1,1,1,2,2,Sometimes,Always,Always,Always,Sometimes,Sometimes,7.916666666666666
61,6103101,1,M,45,6,high School,3,Bajío,1,1,1,2,2,3,1,Always,Always,Sometimes,Sometimes,Never,Always,8.333333333333334
62,6214101,1,M,61,2,Basic,6,South,2,2,1,2,1,2,2,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,8.333333333333334
63,6316102,2,F,34,8,Undergraduate,2,Northeast,4,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
64,6403101,2,F,51,10,Graduate,1,Northwest,1,1,2,1,1,3,1,Always,Sometimes,Always,Always,Never,Always,7.916666666666666
65,6519102,2,F,49,3,Basic,1,Northwest,3,1,1,1,3,1,3,Always,Always,Always,Never,Always,Never,7.5
66,6614104,2,F,30,3,Basic,3,Bajío,4,3,2,2,1,1,3,Never,Sometimes,Sometimes,Always,Always,Never,7.5
67,6705101,1,M,72,3,Basic,6,South,1,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
68,6804102,2,F,71,3,Basic,4,CDMX,1,2,1,2,3,3,1,Sometimes,Always,Sometimes,Never,Never,Always,7.5
69,6903101,2,F,38,3,Basic,3,Bajío,3,1,2,3,2,2,2,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,8.333333333333334
70,7003101,2,F,64,0,No studies,3,Bajío,1,1,1,3,3,3,2,Always,Always,Never,Never,Never,Sometimes,7.916666666666666
71,7103101,1,M,38,3,Basic,1,Northwest,4,1,1,2,1,2,3,Always,Always,Sometimes,Always,Sometimes,Never,8.333333333333334
72,7215102,2,F,49,10,Graduate,3,Bajío,2,1,1,3,2,3,2,Always,Always,Never,Sometimes,Never,Sometimes,8.333333333333334
73,7302101,2,F,64,7,high School,1,Northwest,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
74,7402103,1,M,39,6,high School,5,South/East,1,1,1,3,2,2,2,Always,Always,Never,Sometimes,Sometimes,Sometimes,8.75
75,7501102,2,F,31,8,Undergraduate,5,South/East,1,1,1,2,3,2,3,Always,Always,Sometimes,Never,Sometimes,Never,7.5
76,7615101,1,M,54,0,No studies,1,Northwest,4,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
77,7718103,2,F,27,3,Basic,6,South,3,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
78,7803101,1,M,45,8,Undergraduate,3,Bajío,1,1,1,2,3,2,3,Always,Always,Sometimes,Never,Sometimes,Never,7.5
79,7912101,2,F,40,6,high School,6,South,3,1,2,2,3,1,2,Always,Sometimes,Sometimes,Never,Always,Sometimes,7.916666666666666
80,8009101,1,M,54,0,No studies,5,South/East,4,1,2,3,3,2,2,Always,Sometimes,Never,Never,Sometimes,Sometimes,7.916666666666666
81,8111101,2,F,32,6,high School,6,South,4,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
82,8203101,2,F,50,3,Basic,1,Northwest,1,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
83,8301101,2,F,33,8,Undergraduate,4,CDMX,1,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
84,8402102,2,F,36,8,Undergraduate,4,CDMX,1,2,1,3,1,3,1,Sometimes,Always,Never,Always,Never,Always,8.75
85,8520103,1,M,34,3,Basic,1,Northwest,4,2,2,3,2,2,2,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,7.916666666666666
86,8604101,2,F,72,2,Basic,2,Northeast,2,1,1,3,2,3,3,Always,Always,Never,Sometimes,Never,Never,7.916666666666666
87,8717101,2,F,45,8,Undergraduate,2,Northeast,3,2,1,2,2,3,2,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,7.5
88,8802102,1,M,35,6,high School,4,CDMX,1,1,2,2,3,2,3,Always,Sometimes,Sometimes,Never,Sometimes,Never,7.083333333333333
89,8904102,2,F,35,8,Undergraduate,2,Northeast,4,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
90,9001101,2,F,29,8,Undergraduate,3,Bajío,2,3,1,1,3,2,2,Never,Always,Always,Never,Sometimes,Sometimes,6.666666666666666
91,9111101,2,F,44,3,Basic,1,Northwest,4,1,2,3,1,1,2,Always,Sometimes,Never,Always,Always,Sometimes,9.166666666666666
92,9216103,1,M,26,6,high School,5,South/East,3,2,2,3,1,2,3,Sometimes,Sometimes,Never,Always,Sometimes,Never,7.916666666666666
93,9302101,1,M,32,2,Basic,3,Bajío,2,1,1,1,1,3,2,Always,Always,Always,Always,Never,Sometimes,7.916666666666666
94,9403101,1,M,46,6,high School,3,Bajío,1,1,1,3,2,2,2,Always,Always,Never,Sometimes,Sometimes,Sometimes,8.75
95,9505101,2,F,49,3,Basic,1,Northwest,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
96,9619102,2,F,63,3,Basic,2,Northeast,4,2,1,2,2,3,3,Sometimes,Always,Sometimes,Sometimes,Never,Never,7.083333333333333
97,9703101,1,M,78,2,Basic,2,Northeast,1,2,1,2,2,2,2,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
98,9816101,2,F,43,8,Undergraduate,6,South,2,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
99,9904101,1,M,50,3,Basic,6,South,4,1,2,3,1,3,2,Always,Sometimes,Never,Always,Never,Sometimes,8.333333333333334
100,10001101,2,F,59,2,Basic,5,South/East,2,2,1,2,2,1,3,Sometimes,Always,Sometimes,Sometimes,Always,Never,7.916666666666666
101,10103101,1,M,48,6,high School,2,Northeast,1,1,1,1,3,3,3,Always,Always,Always,Never,Never,Never,6.666666666666666
102,10203103,1,M,23,8,Undergraduate,5,South/East,1,1,1,2,2,1,2,Always,Always,Sometimes,Sometimes,Always,Sometimes,8.75
103,10305101,1,M,70,3,Basic,6,South,1,1,1,3,2,2,3,Always,Always,Never,Sometimes,Sometimes,Never,8.333333333333334
104,10405101,2,F,18,6,high School,4,CDMX,1,1,1,1,2,3,2,Always,Always,Always,Sometimes,Never,Sometimes,7.5
106,10602102,2,F,39,7,high School,2,Northeast,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
107,10709103,1,M,19,6,high School,1,Northwest,2,1,2,1,1,3,3,Always,Sometimes,Always,Always,Never,Never,7.083333333333333
108,10804101,1,M,49,8,Undergraduate,4,CDMX,1,2,1,2,2,3,2,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,7.5
109,10911101,2,F,67,2,Basic,3,Bajío,3,1,1,3,1,3,1,Always,Always,Never,Always,Never,Always,9.166666666666666
110,11005101,1,M,36,3,Basic,1,Northwest,1,1,1,2,3,3,2,Always,Always,Sometimes,Never,Never,Sometimes,7.5
111,11102101,1,M,34,3,Basic,3,Bajío,1,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
112,11201101,1,M,51,2,Basic,3,Bajío,4,1,1,3,1,2,3,Always,Always,Never,Always,Sometimes,Never,8.75
113,11305101,1,M,33,6,high School,3,Bajío,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
114,11305201,1,M,38,7,high School,3,Bajío,1,2,1,1,2,3,2,Sometimes,Always,Always,Sometimes,Never,Sometimes,7.083333333333333
115,11305301,1,M,32,6,high School,3,Bajío,1,1,1,2,2,1,1,Always,Always,Sometimes,Sometimes,Always,Always,9.166666666666666
116,11401105,2,F,22,3,Basic,2,Northeast,3,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
117,11501101,1,M,48,3,Basic,5,South/East,1,1,1,1,2,2,2,Always,Always,Always,Sometimes,Sometimes,Sometimes,7.916666666666666
118,11601101,1,M,52,2,Basic,5,South/East,4,1,1,2,1,2,3,Always,Always,Sometimes,Always,Sometimes,Never,8.333333333333334
119,11710102,2,F,29,6,high School,3,Bajío,3,1,1,2,2,3,2,Always,Always,Sometimes,Sometimes,Never,Sometimes,7.916666666666666
120,11806102,2,F,27,8,Undergraduate,6,South,2,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
121,11904101,1,M,31,8,Undergraduate,2,Northeast,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
122,12001102,2,F,34,8,Undergraduate,2,Northeast,1,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
123,12113101,2,F,79,2,Basic,5,South/East,2,1,1,2,1,1,1,Always,Always,Sometimes,Always,Always,Always,9.583333333333334
124,12215101,1,M,68,0,No studies,1,Northwest,2,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
125,12304104,1,M,21,8,Undergraduate,5,South/East,2,1,1,3,1,2,1,Always,Always,Never,Always,Sometimes,Always,9.583333333333334
126,12404102,1,M,65,8,Undergraduate,1,Northwest,1,3,1,2,1,1,3,Never,Always,Sometimes,Always,Always,Never,7.916666666666666
127,12505101,1,M,55,7,high School,1,Northwest,1,1,1,3,1,1,1,Always,Always,Never,Always,Always,Always,10.0
128,12602101,2,F,48,7,high School,1,Northwest,1,1,2,2,2,3,2,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,7.5
129,12714101,1,M,67,2,Basic,5,South/East,4,2,2,2,2,1,1,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,8.333333333333334
130,12805101,2,F,43,3,Basic,3,Bajío,1,1,1,2,1,2,1,Always,Always,Sometimes,Always,Sometimes,Always,9.166666666666666
131,12904101,2,F,52,3,Basic,1,Northwest,1,1,1,1,1,1,2,Always,Always,Always,Always,Always,Sometimes,8.75
132,13002101,1,M,40,3,Basic,6,South,1,3,1,1,1,1,3,Never,Always,Always,Always,Always,Never,7.5
133,13105102,1,M,36,8,Undergraduate,1,Northwest,1,1,1,3,3,2,2,Always,Always,Never,Never,Sometimes,Sometimes,8.333333333333334
134,13208103,1,M,48,2,Basic,6,South,4,1,1,3,3,2,3,Always,Always,Never,Never,Sometimes,Never,7.916666666666666
135,13319101,1,M,71,6,high School,6,South,2,1,1,2,3,2,3,Always,Always,Sometimes,Never,Sometimes,Never,7.5
136,13402101,1,M,38,3,Basic,5,South/East,1,1,1,2,1,1,3,Always,Always,Sometimes,Always,Always,Never,8.75
137,13513101,2,F,48,3,Basic,2,Northeast,3,2,2,1,3,1,3,Sometimes,Sometimes,Always,Never,Always,Never,6.666666666666666
138,13601101,1,M,39,2,Basic,2,Northeast,1,2,2,2,2,3,3,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,6.666666666666666
139,13601201,1,M,68,2,Basic,2,Northeast,1,1,1,1,1,3,3,Always,Always,Always,Always,Never,Never,7.5
140,13708101,1,M,32,6,high School,3,Bajío,4,1,1,2,1,1,2,Always,Always,Sometimes,Always,Always,Sometimes,9.166666666666666
141,13808102,1,M,27,3,Basic,2,Northeast,4,1,1,1,3,1,3,Always,Always,Always,Never,Always,Never,7.5
142,13904101,1,M,34,8,Undergraduate,4,CDMX,1,2,1,1,1,2,2,Sometimes,Always,Always,Always,Sometimes,Sometimes,7.916666666666666
143,14004103,1,M,25,6,high School,2,Northeast,1,2,1,2,1,3,1,Sometimes,Always,Sometimes,Always,Never,Always,8.333333333333334
144,14110102,2,F,37,2,Basic,5,South/East,4,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
145,14204101,2,F,55,3,Basic,5,South/East,4,1,1,3,3,3,3,Always,Always,Never,Never,Never,Never,7.5
146,14304101,1,M,52,3,Basic,2,Northeast,1,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
147,14409101,1,M,50,6,high School,3,Bajío,2,1,1,3,2,2,3,Always,Always,Never,Sometimes,Sometimes,Never,8.333333333333334
148,14514102,2,F,51,6,high School,1,Northwest,4,1,2,3,1,2,3,Always,Sometimes,Never,Always,Sometimes,Never,8.333333333333334
149,14617101,2,F,50,3,Basic,6,South,3,2,1,3,1,2,3,Sometimes,Always,Never,Always,Sometimes,Never,8.333333333333334
150,14703102,2,F,34,3,Basic,6,South,1,2,2,2,3,1,3,Sometimes,Sometimes,Sometimes,Never,Always,Never,7.083333333333333
151,14801101,2,F,72,6,high School,5,South/East,1,1,1,3,2,1,3,Always,Always,Never,Sometimes,Always,Never,8.75
153,15002106,1,M,52,2,Basic,1,Northwest,2,2,1,3,2,3,3,Sometimes,Always,Never,Sometimes,Never,Never,7.5
154,15108102,2,F,37,6,high School,2,Northeast,2,1,2,1,1,1,2,Always,Sometimes,Always,Always,Always,Sometimes,8.333333333333334
155,15203101,1,M,45,8,Undergraduate,3,Bajío,1,1,1,1,1,1,2,Always,Always,Always,Always,Always,Sometimes,8.75
156,15301101,1,M,68,8,Undergraduate,1,Northwest,2,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
157,15404102,2,F,35,2,Basic,5,South/East,3,1,2,1,3,1,3,Always,Sometimes,Always,Never,Always,Never,7.083333333333333
158,15504102,2,F,39,8,Undergraduate,2,Northeast,1,1,1,2,1,1,2,Always,Always,Sometimes,Always,Always,Sometimes,9.166666666666666
159,15602101,2,F,45,8,Undergraduate,6,South,1,2,1,2,2,3,2,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,7.5
160,15704101,2,F,73,2,Basic,3,Bajío,1,1,1,3,2,3,3,Always,Always,Never,Sometimes,Never,Never,7.916666666666666
161,15816104,2,F,22,6,high School,2,Northeast,4,2,2,3,2,2,2,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,7.916666666666666
162,15903102,2,F,56,3,Basic,5,South/East,1,1,1,3,2,2,3,Always,Always,Never,Sometimes,Sometimes,Never,8.333333333333334
163,16001102,1,M,18,6,high School,1,Northwest,1,2,1,1,2,3,2,Sometimes,Always,Always,Sometimes,Never,Sometimes,7.083333333333333
164,16104103,2,F,28,8,Undergraduate,6,South,3,1,1,3,2,2,2,Always,Always,Never,Sometimes,Sometimes,Sometimes,8.75
165,16202101,1,M,65,6,high School,5,South/East,1,1,1,3,3,2,3,Always,Always,Never,Never,Sometimes,Never,7.916666666666666
166,16308102,2,F,39,2,Basic,3,Bajío,4,2,2,3,2,3,3,Sometimes,Sometimes,Never,Sometimes,Never,Never,7.083333333333333
167,16308201,1,M,30,3,Basic,3,Bajío,4,2,2,2,2,3,3,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,6.666666666666666
168,16406101,1,M,59,2,Basic,6,South,4,1,1,2,2,1,2,Always,Always,Sometimes,Sometimes,Always,Sometimes,8.75
169,16501101,1,M,42,8,Undergraduate,5,South/East,2,1,1,1,1,1,2,Always,Always,Always,Always,Always,Sometimes,8.75
170,16601101,1,M,55,8,Undergraduate,6,South,1,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
171,16703101,1,M,58,3,Basic,6,South,1,2,2,3,1,3,2,Sometimes,Sometimes,Never,Always,Never,Sometimes,7.916666666666666
172,16805102,2,F,31,8,Undergraduate,3,Bajío,1,2,1,2,1,2,3,Sometimes,Always,Sometimes,Always,Sometimes,Never,7.916666666666666
173,16902102,1,M,29,3,Basic,4,CDMX,1,2,2,1,2,3,2,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,6.666666666666666
174,17005101,2,F,35,6,high School,3,Bajío,1,3,1,2,2,1,2,Never,Always,Sometimes,Sometimes,Always,Sometimes,7.916666666666666
175,17118102,2,F,43,0,No studies,5,South/East,4,1,2,2,3,2,1,Always,Sometimes,Sometimes,Never,Sometimes,Always,7.916666666666666
176,17205101,1,M,31,3,Basic,3,Bajío,3,2,1,2,2,2,1,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,8.333333333333334
177,17316102,2,F,44,7,high School,6,South,2,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
178,17420102,1,M,55,3,Basic,2,Northeast,4,1,1,1,3,1,1,Always,Always,Always,Never,Always,Always,8.333333333333334
179,17517101,2,F,73,7,high School,5,South/East,2,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
180,17612101,1,M,65,6,high School,6,South,3,1,1,2,3,3,2,Always,Always,Sometimes,Never,Never,Sometimes,7.5
181,17720101,2,F,24,3,Basic,6,South,4,1,2,2,2,2,1,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,8.333333333333334
182,17803102,2,F,26,2,Basic,3,Bajío,2,1,1,2,1,2,1,Always,Always,Sometimes,Always,Sometimes,Always,9.166666666666666
183,17905101,1,M,51,3,Basic,3,Bajío,1,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
184,18004101,1,M,58,2,Basic,1,Northwest,1,1,1,3,1,3,3,Always,Always,Never,Always,Never,Never,8.333333333333334
185,18104101,1,M,31,8,Undergraduate,5,South/East,3,1,1,2,1,2,2,Always,Always,Sometimes,Always,Sometimes,Sometimes,8.75
186,18204101,2,F,39,3,Basic,2,Northeast,1,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
187,18310101,2,F,35,6,high School,3,Bajío,3,1,1,3,1,3,3,Always,Always,Never,Always,Never,Never,8.333333333333334
188,18402102,2,F,58,3,Basic,5,South/East,3,1,1,1,3,2,2,Always,Always,Always,Never,Sometimes,Sometimes,7.5
189,18505104,2,F,22,3,Basic,1,Northwest,4,1,2,2,1,1,2,Always,Sometimes,Sometimes,Always,Always,Sometimes,8.75
190,18607101,2,F,43,6,high School,5,South/East,4,1,2,2,1,2,2,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,8.333333333333334
191,18702101,1,M,27,8,Undergraduate,3,Bajío,1,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
192,18802101,2,F,62,6,high School,1,Northwest,1,1,1,1,1,1,1,Always,Always,Always,Always,Always,Always,9.166666666666666
193,18904101,1,M,45,8,Undergraduate,1,Northwest,1,1,1,3,2,3,2,Always,Always,Never,Sometimes,Never,Sometimes,8.333333333333334
194,19002102,2,F,40,3,Basic,5,South/East,2,3,1,3,1,1,3,Never,Always,Never,Always,Always,Never,8.333333333333334
195,19104101,2,F,70,3,Basic,2,Northeast,1,1,1,3,2,2,3,Always,Always,Never,Sometimes,Sometimes,Never,8.333333333333334
196,19211101,1,M,50,3,Basic,1,Northwest,3,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
197,19312102,1,M,43,3,Basic,1,Northwest,2,2,1,2,2,2,2,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
198,19402105,1,M,21,6,high School,2,Northeast,1,1,1,2,1,2,1,Always,Always,Sometimes,Always,Sometimes,Always,9.166666666666666
199,19504101,2,F,44,3,Basic,2,Northeast,1,1,1,1,3,2,3,Always,Always,Always,Never,Sometimes,Never,7.083333333333333
200,19619101,2,F,70,0,No studies,6,South,3,1,1,2,1,3,1,Always,Always,Sometimes,Always,Never,Always,8.75
201,19705101,1,M,52,3,Basic,3,Bajío,1,2,2,3,2,2,3,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,7.5
