,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p481,p482,p483,p484,p485,p486,p481_t,p482_t,p483_t,p484_t,p485_t,p486_t,t48_calif
0,101101,1,H,38,8,Licenciatura,1,Noroeste,1,1,1,1,1,1,2,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,7.916666666666666
1,210101,1,H,36,8,Licenciatura,6,Sur,3,3,2,1,1,1,2,En desacuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,Ninguna,9.166666666666666
2,303102,1,H,20,3,Básica,4,CDMX,1,2,3,3,2,1,1,Ninguna,En desacuerdo,En desacuerdo,Ninguna,De acuerdo,De acuerdo,8.333333333333334
3,401101,1,H,59,3,Básica,1,Noroeste,1,1,1,2,2,1,1,De acuerdo,De acuerdo,Ninguna,Ninguna,De acuerdo,De acuerdo,7.5
4,503101,2,M,37,6,Preparatoria,4,CDMX,1,3,3,2,1,3,3,En desacuerdo,En desacuerdo,Ninguna,De acuerdo,En desacuerdo,En desacuerdo,7.916666666666666
5,603102,2,M,53,3,Básica,6,Sur,1,3,1,3,1,1,1,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
6,704101,1,H,40,2,Básica,6,Sur,4,1,1,1,3,3,3,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
7,803102,2,M,24,8,Licenciatura,2,Noreste,2,3,2,2,3,3,3,En desacuerdo,Ninguna,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,6.666666666666666
8,904102,2,M,41,3,Básica,2,Noreste,1,2,1,2,2,2,2,Ninguna,De acuerdo,Ninguna,Ninguna,Ninguna,Ninguna,7.083333333333333
9,1004101,1,H,37,3,Básica,1,Noroeste,1,1,1,2,1,3,1,De acuerdo,De acuerdo,Ninguna,De acuerdo,En desacuerdo,De acuerdo,7.083333333333333
10,1102102,2,M,53,2,Básica,3,Bajío,1,1,1,1,1,1,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
11,1201102,2,M,37,3,Básica,3,Bajío,4,1,3,3,2,2,1,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,Ninguna,De acuerdo,7.5
12,1303104,1,H,20,6,Preparatoria,6,Sur,1,1,3,1,1,1,2,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,8.75
13,1408102,1,H,65,2,Básica,6,Sur,4,3,2,3,3,3,2,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,Ninguna,6.666666666666666
14,1504101,1,H,46,6,Preparatoria,5,Sur/Oriente,1,1,1,2,2,3,3,De acuerdo,De acuerdo,Ninguna,Ninguna,En desacuerdo,En desacuerdo,5.833333333333333
15,1609104,1,H,22,6,Preparatoria,3,Bajío,4,3,1,2,1,1,1,En desacuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,8.75
16,1704101,2,M,42,3,Básica,2,Noreste,1,1,1,2,2,3,3,De acuerdo,De acuerdo,Ninguna,Ninguna,En desacuerdo,En desacuerdo,5.833333333333333
17,1816102,2,M,53,2,Básica,5,Sur/Oriente,4,1,1,1,1,1,3,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,7.5
18,1904105,2,M,32,3,Básica,1,Noroeste,1,3,1,2,2,1,1,En desacuerdo,De acuerdo,Ninguna,Ninguna,De acuerdo,De acuerdo,8.333333333333334
19,2008101,1,H,45,2,Básica,2,Noreste,4,3,2,1,3,1,3,En desacuerdo,Ninguna,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,7.916666666666666
20,2105101,1,H,46,6,Preparatoria,5,Sur/Oriente,1,1,1,2,2,1,1,De acuerdo,De acuerdo,Ninguna,Ninguna,De acuerdo,De acuerdo,7.5
21,2205103,2,M,23,8,Licenciatura,3,Bajío,1,3,3,3,3,2,2,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ninguna,Ninguna,7.5
22,2318101,1,H,50,2,Básica,3,Bajío,3,1,1,3,3,1,1,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,6.666666666666666
23,2413101,2,M,47,6,Preparatoria,1,Noroeste,4,2,2,3,3,2,2,Ninguna,Ninguna,En desacuerdo,En desacuerdo,Ninguna,Ninguna,6.666666666666666
24,2502101,1,H,64,8,Licenciatura,4,CDMX,1,3,3,1,1,1,1,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,10.0
25,2601101,2,M,60,2,Básica,3,Bajío,3,1,1,1,3,2,1,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,De acuerdo,7.083333333333333
26,2601201,2,M,26,8,Licenciatura,3,Bajío,3,3,3,2,1,1,1,En desacuerdo,En desacuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,9.583333333333334
27,2701101,2,M,50,8,Licenciatura,2,Noreste,1,3,2,1,1,1,1,En desacuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.583333333333334
28,2805101,2,M,53,6,Preparatoria,3,Bajío,2,2,2,1,3,3,3,Ninguna,Ninguna,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.666666666666666
29,2920101,1,H,39,6,Preparatoria,6,Sur,2,1,3,1,1,3,1,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,8.333333333333334
