,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p481,p482,p483,p484,p485,p486,p481_t,p482_t,p483_t,p484_t,p485_t,p486_t,t48_calif
30,3001104,2,M,80,8,Licenciatura,4,CDMX,1,3,2,2,3,2,1,En desacuerdo,Ninguna,Ninguna,En desacuerdo,Ninguna,De acuerdo,7.916666666666666
31,3102103,2,M,42,2,Básica,5,Sur/Oriente,1,1,1,2,3,1,3,De acuerdo,De acuerdo,Ninguna,En desacuerdo,De acuerdo,En desacuerdo,6.25
32,3209102,2,M,67,2,Básica,3,Bajío,4,2,1,3,1,1,2,Ninguna,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ninguna,7.5
33,3316101,2,M,32,3,Básica,6,Sur,3,3,3,1,2,3,3,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,En desacuerdo,En desacuerdo,7.916666666666666
34,3403102,2,M,50,5,Básica,2,Noreste,1,3,3,1,1,1,2,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,9.583333333333334
35,3504103,1,H,45,6,Preparatoria,1,Noroeste,1,1,1,3,1,1,1,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,7.5
36,3603101,1,H,22,8,Licenciatura,3,Bajío,1,2,3,2,3,1,2,Ninguna,En desacuerdo,Ninguna,En desacuerdo,De acuerdo,Ninguna,7.916666666666666
37,3704102,2,M,32,6,Preparatoria,1,Noroeste,1,2,2,2,1,1,3,Ninguna,Ninguna,Ninguna,De acuerdo,De acuerdo,En desacuerdo,7.916666666666666
38,3804101,2,M,39,6,Preparatoria,2,Noreste,1,1,2,1,1,1,2,De acuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,Ninguna,8.333333333333334
39,3903102,2,M,38,7,Preparatoria,4,CDMX,1,3,3,1,1,1,2,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,9.583333333333334
41,4102102,2,M,25,3,Básica,5,Sur/Oriente,4,2,2,2,1,1,2,Ninguna,Ninguna,Ninguna,De acuerdo,De acuerdo,Ninguna,8.333333333333334
42,4215101,2,M,55,5,Básica,5,Sur/Oriente,2,3,1,1,3,3,3,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.666666666666666
43,4315102,2,M,26,8,Licenciatura,1,Noroeste,4,2,2,1,1,2,2,Ninguna,Ninguna,De acuerdo,De acuerdo,Ninguna,Ninguna,8.333333333333334
44,4405101,2,M,63,0,Sin estudios,5,Sur/Oriente,3,1,1,3,3,3,1,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,5.833333333333333
45,4511101,2,M,78,3,Básica,6,Sur,4,3,1,3,3,3,3,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
46,4604101,1,H,59,6,Preparatoria,6,Sur,1,1,1,3,1,1,1,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,7.5
47,4705101,2,M,52,3,Básica,5,Sur/Oriente,3,2,3,2,3,3,3,Ninguna,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,6.666666666666666
48,4815101,2,M,85,0,Sin estudios,6,Sur,4,2,1,2,3,2,1,Ninguna,De acuerdo,Ninguna,En desacuerdo,Ninguna,De acuerdo,7.083333333333333
49,4901104,2,M,30,3,Básica,4,CDMX,1,3,1,1,3,3,3,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.666666666666666
50,5004102,2,M,40,6,Preparatoria,6,Sur,1,2,2,3,2,3,3,Ninguna,Ninguna,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,6.25
51,5101101,1,H,69,0,Sin estudios,5,Sur/Oriente,4,1,1,3,2,2,2,De acuerdo,De acuerdo,En desacuerdo,Ninguna,Ninguna,Ninguna,6.25
52,5205102,2,M,34,8,Licenciatura,2,Noreste,1,1,1,1,1,1,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
53,5305101,2,M,45,8,Licenciatura,5,Sur/Oriente,1,3,2,3,1,3,3,En desacuerdo,Ninguna,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,7.083333333333333
54,5410102,2,M,53,2,Básica,3,Bajío,2,3,3,1,3,3,3,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,7.5
55,5519102,2,M,70,2,Básica,2,Noreste,3,1,2,1,2,1,1,De acuerdo,Ninguna,De acuerdo,Ninguna,De acuerdo,De acuerdo,8.333333333333334
56,5606102,2,M,56,2,Básica,5,Sur/Oriente,4,3,1,1,3,2,3,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,En desacuerdo,7.083333333333333
57,5704101,1,H,48,8,Licenciatura,4,CDMX,1,1,1,1,2,1,1,De acuerdo,De acuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,7.916666666666666
58,5805101,1,H,37,10,Posgrado,1,Noroeste,1,1,2,1,1,1,1,De acuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,De acuerdo,8.75
59,5909101,1,H,62,6,Preparatoria,5,Sur/Oriente,4,1,1,1,1,2,3,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,En desacuerdo,7.083333333333333
60,6004102,1,H,44,3,Básica,1,Noroeste,1,3,1,1,1,1,1,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
61,6103101,1,H,45,6,Preparatoria,3,Bajío,1,2,1,1,1,1,1,Ninguna,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,8.75
62,6214101,1,H,61,2,Básica,6,Sur,2,1,1,3,1,2,1,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ninguna,De acuerdo,7.083333333333333
63,6316102,2,M,34,8,Licenciatura,2,Noreste,4,2,3,1,2,1,3,Ninguna,En desacuerdo,De acuerdo,Ninguna,De acuerdo,En desacuerdo,8.333333333333334
64,6403101,2,M,51,10,Posgrado,1,Noroeste,1,2,2,1,1,1,1,Ninguna,Ninguna,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
65,6519102,2,M,49,3,Básica,1,Noroeste,3,3,2,3,3,3,3,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.25
66,6614104,2,M,30,3,Básica,3,Bajío,4,3,1,1,1,3,3,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,7.5
67,6705101,1,H,72,3,Básica,6,Sur,1,3,3,1,1,1,1,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,10.0
68,6804102,2,M,71,3,Básica,4,CDMX,1,2,2,2,2,1,2,Ninguna,Ninguna,Ninguna,Ninguna,De acuerdo,Ninguna,7.916666666666666
69,6903101,2,M,38,3,Básica,3,Bajío,3,3,3,1,2,2,1,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,Ninguna,De acuerdo,9.166666666666666
70,7003101,2,M,64,0,Sin estudios,3,Bajío,1,1,3,1,3,3,1,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,7.5
71,7103101,1,H,38,3,Básica,1,Noroeste,4,2,1,2,1,2,3,Ninguna,De acuerdo,Ninguna,De acuerdo,Ninguna,En desacuerdo,7.083333333333333
72,7215102,2,M,49,10,Posgrado,3,Bajío,2,3,1,1,1,1,1,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
73,7302101,2,M,64,7,Preparatoria,1,Noroeste,1,1,1,1,2,1,1,De acuerdo,De acuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,7.916666666666666
74,7402103,1,H,39,6,Preparatoria,5,Sur/Oriente,1,1,2,2,2,1,1,De acuerdo,Ninguna,Ninguna,Ninguna,De acuerdo,De acuerdo,7.916666666666666
75,7501102,2,M,31,8,Licenciatura,5,Sur/Oriente,1,3,3,1,2,3,1,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,En desacuerdo,De acuerdo,8.75
76,7615101,1,H,54,0,Sin estudios,1,Noroeste,4,2,2,2,2,2,2,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,7.5
77,7718103,2,M,27,3,Básica,6,Sur,3,3,1,2,3,3,3,En desacuerdo,De acuerdo,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,6.25
78,7803101,1,H,45,8,Licenciatura,3,Bajío,1,1,1,1,3,3,3,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
79,7912101,2,M,40,6,Preparatoria,6,Sur,3,1,1,1,1,2,3,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,En desacuerdo,7.083333333333333
80,8009101,1,H,54,0,Sin estudios,5,Sur/Oriente,4,1,2,1,3,2,3,De acuerdo,Ninguna,De acuerdo,En desacuerdo,Ninguna,En desacuerdo,6.666666666666666
81,8111101,2,M,32,6,Preparatoria,6,Sur,4,3,3,1,3,1,3,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,8.333333333333334
82,8203101,2,M,50,3,Básica,1,Noroeste,1,2,2,1,1,2,1,Ninguna,Ninguna,De acuerdo,De acuerdo,Ninguna,De acuerdo,8.75
83,8301101,2,M,33,8,Licenciatura,4,CDMX,1,3,1,2,1,1,1,En desacuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,8.75
84,8402102,2,M,36,8,Licenciatura,4,CDMX,1,3,3,1,2,1,1,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,9.583333333333334
85,8520103,1,H,34,3,Básica,1,Noroeste,4,1,1,2,1,2,2,De acuerdo,De acuerdo,Ninguna,De acuerdo,Ninguna,Ninguna,7.083333333333333
86,8604101,2,M,72,2,Básica,2,Noreste,2,1,1,1,1,2,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,De acuerdo,7.916666666666666
87,8717101,2,M,45,8,Licenciatura,2,Noreste,3,2,1,3,2,1,2,Ninguna,De acuerdo,En desacuerdo,Ninguna,De acuerdo,Ninguna,7.083333333333333
88,8802102,1,H,35,6,Preparatoria,4,CDMX,1,2,2,3,3,3,3,Ninguna,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
89,8904102,2,M,35,8,Licenciatura,2,Noreste,4,1,1,1,1,1,3,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,7.5
90,9001101,2,M,29,8,Licenciatura,3,Bajío,2,1,1,3,3,1,1,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,6.666666666666666
91,9111101,2,M,44,3,Básica,1,Noroeste,4,2,3,1,1,2,2,Ninguna,En desacuerdo,De acuerdo,De acuerdo,Ninguna,Ninguna,8.75
92,9216103,1,H,26,6,Preparatoria,5,Sur/Oriente,3,1,1,2,1,1,2,De acuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,Ninguna,7.5
93,9302101,1,H,32,2,Básica,3,Bajío,2,1,1,1,1,1,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
94,9403101,1,H,46,6,Preparatoria,3,Bajío,1,3,3,1,2,1,3,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,De acuerdo,En desacuerdo,8.75
95,9505101,2,M,49,3,Básica,1,Noroeste,1,1,2,1,2,2,2,De acuerdo,Ninguna,De acuerdo,Ninguna,Ninguna,Ninguna,7.5
96,9619102,2,M,63,3,Básica,2,Noreste,4,1,1,2,2,3,3,De acuerdo,De acuerdo,Ninguna,Ninguna,En desacuerdo,En desacuerdo,5.833333333333333
97,9703101,1,H,78,2,Básica,2,Noreste,1,1,1,3,3,2,1,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,De acuerdo,6.25
98,9816101,2,M,43,8,Licenciatura,6,Sur,2,1,1,2,1,1,1,De acuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,7.916666666666666
99,9904101,1,H,50,3,Básica,6,Sur,4,3,1,1,1,1,1,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
100,10001101,2,M,59,2,Básica,5,Sur/Oriente,2,3,2,3,3,3,3,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.25
101,10103101,1,H,48,6,Preparatoria,2,Noreste,1,1,1,1,3,2,1,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,De acuerdo,7.083333333333333
102,10203103,1,H,23,8,Licenciatura,5,Sur/Oriente,1,3,1,1,1,2,3,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,En desacuerdo,7.916666666666666
103,10305101,1,H,70,3,Básica,6,Sur,1,3,2,3,2,2,2,En desacuerdo,Ninguna,En desacuerdo,Ninguna,Ninguna,Ninguna,7.5
104,10405101,2,M,18,6,Preparatoria,4,CDMX,1,2,2,1,1,1,1,Ninguna,Ninguna,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
105,10502101,2,M,80,0,Sin estudios,2,Noreste,1,2,1,3,1,1,1,Ninguna,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,7.916666666666666
106,10602102,2,M,39,7,Preparatoria,2,Noreste,1,3,2,1,1,1,2,En desacuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,Ninguna,9.166666666666666
107,10709103,1,H,19,6,Preparatoria,1,Noroeste,2,1,1,2,2,3,3,De acuerdo,De acuerdo,Ninguna,Ninguna,En desacuerdo,En desacuerdo,5.833333333333333
108,10804101,1,H,49,8,Licenciatura,4,CDMX,1,3,3,2,2,1,2,En desacuerdo,En desacuerdo,Ninguna,Ninguna,De acuerdo,Ninguna,8.75
109,10911101,2,M,67,2,Básica,3,Bajío,3,3,1,3,1,1,1,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
110,11005101,1,H,36,3,Básica,1,Noroeste,1,3,1,3,3,2,3,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,En desacuerdo,6.25
111,11102101,1,H,34,3,Básica,3,Bajío,1,2,1,2,2,2,3,Ninguna,De acuerdo,Ninguna,Ninguna,Ninguna,En desacuerdo,6.666666666666666
112,11201101,1,H,51,2,Básica,3,Bajío,4,3,2,1,3,3,3,En desacuerdo,Ninguna,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,7.083333333333333
113,11305101,1,H,33,6,Preparatoria,3,Bajío,1,3,3,1,3,3,3,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,7.5
114,11305201,1,H,38,7,Preparatoria,3,Bajío,1,2,2,3,2,1,1,Ninguna,Ninguna,En desacuerdo,Ninguna,De acuerdo,De acuerdo,7.916666666666666
115,11305301,1,H,32,6,Preparatoria,3,Bajío,1,1,1,2,3,1,3,De acuerdo,De acuerdo,Ninguna,En desacuerdo,De acuerdo,En desacuerdo,6.25
116,11401105,2,M,22,3,Básica,2,Noreste,3,1,3,1,1,1,1,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
117,11501101,1,H,48,3,Básica,5,Sur/Oriente,1,2,2,3,2,3,3,Ninguna,Ninguna,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,6.25
118,11601101,1,H,52,2,Básica,5,Sur/Oriente,4,1,2,3,2,3,3,De acuerdo,Ninguna,En desacuerdo,Ninguna,En desacuerdo,En desacuerdo,5.833333333333333
119,11710102,2,M,29,6,Preparatoria,3,Bajío,3,1,1,2,1,1,1,De acuerdo,De acuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,7.916666666666666
120,11806102,2,M,27,8,Licenciatura,6,Sur,2,3,3,2,3,2,2,En desacuerdo,En desacuerdo,Ninguna,En desacuerdo,Ninguna,Ninguna,7.916666666666666
121,11904101,1,H,31,8,Licenciatura,2,Noreste,1,2,2,1,2,2,2,Ninguna,Ninguna,De acuerdo,Ninguna,Ninguna,Ninguna,7.916666666666666
122,12001102,2,M,34,8,Licenciatura,2,Noreste,1,3,3,1,2,2,2,En desacuerdo,En desacuerdo,De acuerdo,Ninguna,Ninguna,Ninguna,8.75
123,12113101,2,M,79,2,Básica,5,Sur/Oriente,2,3,1,3,1,1,1,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
124,12215101,1,H,68,0,Sin estudios,1,Noroeste,2,2,1,2,2,2,2,Ninguna,De acuerdo,Ninguna,Ninguna,Ninguna,Ninguna,7.083333333333333
125,12304104,1,H,21,8,Licenciatura,5,Sur/Oriente,2,2,2,1,1,1,2,Ninguna,Ninguna,De acuerdo,De acuerdo,De acuerdo,Ninguna,8.75
126,12404102,1,H,65,8,Licenciatura,1,Noroeste,1,3,1,1,1,1,1,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,9.166666666666666
127,12505101,1,H,55,7,Preparatoria,1,Noroeste,1,2,3,1,1,1,3,Ninguna,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,8.75
128,12602101,2,M,48,7,Preparatoria,1,Noroeste,1,2,2,1,1,2,2,Ninguna,Ninguna,De acuerdo,De acuerdo,Ninguna,Ninguna,8.333333333333334
129,12714101,1,H,67,2,Básica,5,Sur/Oriente,4,1,2,1,3,1,1,De acuerdo,Ninguna,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,7.916666666666666
130,12805101,2,M,43,3,Básica,3,Bajío,1,1,1,1,1,1,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,8.333333333333334
131,12904101,2,M,52,3,Básica,1,Noroeste,1,1,1,1,1,3,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,7.5
132,13002101,1,H,40,3,Básica,6,Sur,1,3,1,3,3,3,3,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
133,13105102,1,H,36,8,Licenciatura,1,Noroeste,1,1,2,1,1,2,2,De acuerdo,Ninguna,De acuerdo,De acuerdo,Ninguna,Ninguna,7.916666666666666
134,13208103,1,H,48,2,Básica,6,Sur,4,3,1,3,3,3,3,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
135,13319101,1,H,71,6,Preparatoria,6,Sur,2,2,2,1,2,1,1,Ninguna,Ninguna,De acuerdo,Ninguna,De acuerdo,De acuerdo,8.75
136,13402101,1,H,38,3,Básica,5,Sur/Oriente,1,1,2,3,3,3,3,De acuerdo,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.416666666666666
137,13513101,2,M,48,3,Básica,2,Noreste,3,1,1,3,3,3,3,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.0
138,13601101,1,H,39,2,Básica,2,Noreste,1,2,1,1,1,2,2,Ninguna,De acuerdo,De acuerdo,De acuerdo,Ninguna,Ninguna,7.916666666666666
139,13601201,1,H,68,2,Básica,2,Noreste,1,1,1,1,2,1,2,De acuerdo,De acuerdo,De acuerdo,Ninguna,De acuerdo,Ninguna,7.5
140,13708101,1,H,32,6,Preparatoria,3,Bajío,4,2,3,3,3,3,3,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.25
141,13808102,1,H,27,3,Básica,2,Noreste,4,3,1,3,1,3,3,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,6.666666666666666
142,13904101,1,H,34,8,Licenciatura,4,CDMX,1,3,3,2,1,1,1,En desacuerdo,En desacuerdo,Ninguna,De acuerdo,De acuerdo,De acuerdo,9.583333333333334
143,14004103,1,H,25,6,Preparatoria,2,Noreste,1,2,1,3,1,1,1,Ninguna,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,7.916666666666666
144,14110102,2,M,37,2,Básica,5,Sur/Oriente,4,2,1,1,1,3,3,Ninguna,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,7.083333333333333
145,14204101,2,M,55,3,Básica,5,Sur/Oriente,4,1,3,1,1,3,3,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,7.5
146,14304101,1,H,52,3,Básica,2,Noreste,1,3,3,1,1,1,3,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,9.166666666666666
147,14409101,1,H,50,6,Preparatoria,3,Bajío,2,2,1,1,2,2,2,Ninguna,De acuerdo,De acuerdo,Ninguna,Ninguna,Ninguna,7.5
148,14514102,2,M,51,6,Preparatoria,1,Noroeste,4,3,1,2,1,2,2,En desacuerdo,De acuerdo,Ninguna,De acuerdo,Ninguna,Ninguna,7.916666666666666
149,14617101,2,M,50,3,Básica,6,Sur,3,2,2,3,1,3,2,Ninguna,Ninguna,En desacuerdo,De acuerdo,En desacuerdo,Ninguna,7.083333333333333
150,14703102,2,M,34,3,Básica,6,Sur,1,2,2,3,3,3,3,Ninguna,Ninguna,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,5.833333333333333
151,14801101,2,M,72,6,Preparatoria,5,Sur/Oriente,1,2,1,1,3,3,3,Ninguna,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,6.25
152,14904103,1,H,19,2,Básica,5,Sur/Oriente,3,1,3,3,3,1,1,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,7.5
